ID_ENTIDAD,ENTIDAD,ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,SECCION,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL,PAN_PERCENTAGE,PRI_PERCENTAGE,PRD_PERCENTAGE,PVEM_PERCENTAGE,PT_PERCENTAGE,MC_PERCENTAGE,MORENA_PERCENTAGE,PAN_PRI_PRD_PERCENTAGE,PAN_PRD_PERCENTAGE,PAN_PRI_PERCENTAGE,PRI_PRD_PERCENTAGE,PVEM_PT_MORENA_PERCENTAGE,PVEM_PT_PERCENTAGE,PVEM_MORENA_PERCENTAGE,PT_MORENA_PERCENTAGE,CANDIDATO/A NO REGISTRADO/A_PERCENTAGE,VOTOS NULOS_PERCENTAGE,PARTICIPATION_PERCENTAGE
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2405,144,28,18,41,44,75,415,18,2,1,0,51,3,8,7,2,23,880,1311,16.363636363636363,3.1818181818181817,2.0454545454545454,4.659090909090909,5.0,8.522727272727272,47.159090909090914,2.0454545454545454,0.22727272727272727,0.11363636363636363,0.0,5.795454545454545,0.3409090909090909,0.9090909090909091,0.7954545454545454,0.22727272727272727,2.6136363636363633,67.12433257055682
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2406,230,102,19,70,49,129,636,28,1,3,4,62,4,17,19,5,30,1408,2071,16.335227272727273,7.2443181818181825,1.3494318181818181,4.971590909090909,3.4801136363636362,9.161931818181818,45.17045454545455,1.9886363636363635,0.07102272727272728,0.2130681818181818,0.2840909090909091,4.403409090909091,0.2840909090909091,1.2073863636363635,1.3494318181818181,0.35511363636363635,2.130681818181818,67.98647996137132
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2407,335,111,20,41,38,89,444,59,2,5,1,58,1,8,6,1,28,1247,1685,26.8644747393745,8.901363271852446,1.6038492381716118,3.2878909382518042,3.0473135525260626,7.137129109863673,35.605453087409785,4.731355252606255,0.16038492381716118,0.40096230954290296,0.08019246190858059,4.651162790697675,0.08019246190858059,0.6415396952686447,0.48115477145148355,0.08019246190858059,2.245388933440257,74.00593471810089
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2408,398,112,23,73,38,127,644,28,3,3,0,56,2,7,8,2,20,1544,2179,25.777202072538863,7.253886010362693,1.4896373056994818,4.727979274611399,2.461139896373057,8.22538860103627,41.70984455958549,1.8134715025906734,0.19430051813471502,0.19430051813471502,0.0,3.6269430051813467,0.1295336787564767,0.45336787564766834,0.5181347150259068,0.1295336787564767,1.2953367875647668,70.85819183111519
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2409,297,81,68,53,33,124,544,54,3,4,1,84,1,11,14,1,12,1385,1867,21.444043321299638,5.8483754512635375,4.909747292418772,3.8267148014440435,2.382671480144404,8.953068592057761,39.27797833935018,3.898916967509025,0.21660649819494585,0.2888086642599278,0.07220216606498195,6.064981949458484,0.07220216606498195,0.7942238267148014,1.0108303249097472,0.07220216606498195,0.8664259927797834,74.1831815747188
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2410,154,54,30,75,41,110,593,20,2,5,1,66,5,9,15,5,32,1217,1996,12.65406737880033,4.437140509449466,2.4650780608052587,6.162695152013147,3.3689400164338537,9.038619556285948,48.72637633525061,1.6433853738701727,0.16433853738701726,0.4108463434675432,0.08216926869350863,5.42317173377157,0.4108463434675432,0.7395234182415776,1.2325390304026294,0.4108463434675432,2.629416598192276,60.971943887775545
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2411,211,67,30,22,17,57,253,18,2,4,0,26,0,4,1,1,13,726,973,29.0633608815427,9.228650137741047,4.132231404958678,3.0303030303030303,2.3415977961432506,7.851239669421488,34.84848484848485,2.479338842975207,0.27548209366391185,0.5509641873278237,0.0,3.581267217630854,0.0,0.5509641873278237,0.13774104683195593,0.13774104683195593,1.790633608815427,74.61459403905447
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2412,126,16,5,12,10,35,111,10,0,0,0,9,0,0,3,0,5,342,461,36.84210526315789,4.678362573099415,1.461988304093567,3.508771929824561,2.923976608187134,10.23391812865497,32.45614035087719,2.923976608187134,0.0,0.0,0.0,2.631578947368421,0.0,0.0,0.8771929824561403,0.0,1.461988304093567,74.18655097613883
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2413,159,43,15,28,34,83,352,25,0,6,0,49,4,16,15,0,3,832,1127,19.110576923076923,5.168269230769231,1.8028846153846152,3.3653846153846154,4.086538461538462,9.975961538461538,42.30769230769231,3.0048076923076925,0.0,0.7211538461538461,0.0,5.889423076923077,0.4807692307692308,1.9230769230769231,1.8028846153846152,0.0,0.3605769230769231,73.82431233362911
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2414,94,40,8,25,11,33,211,12,0,0,0,25,0,0,3,1,7,470,744,20.0,8.51063829787234,1.702127659574468,5.319148936170213,2.3404255319148937,7.021276595744681,44.8936170212766,2.553191489361702,0.0,0.0,0.0,5.319148936170213,0.0,0.0,0.6382978723404255,0.2127659574468085,1.4893617021276597,63.17204301075269
